protocolType,SETS_setName,trait,year_loc,FIELD_name,FIELD_name_1,sub_market,FIELD_plantingSeason,FIELD_pipeline,OBS_numValue,productName,commercialName
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,165.117191,MX8432,MX8432
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,160.845897,MX8436,MX8436
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,167.636002,MX8438,MX8438
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,178.854854,MY8509,MY8509
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,155.280208,P3270W,P3270W
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,IIBANA_AHOME_SANJOSEDEAH_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,178.328323,P3274W,P3274W
FTN,FTNME1HTW,LDSR_PUCCSO,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,3,DK4050,DK4050
FTN,FTNME1HTW,SDP_FUSASP,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,17,DK4050,DK4050
FTN,FTNME1HTW,LDSR_SETOTU,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,0,DK4050,DK4050
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,116.732413,DK4050,DK4050
FTN,FTNME1HTW,LDSR_PUCCSO,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,3,DK5021,DK5021
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,118.483728,DK5021,DK5021
FTN,FTNME1HTW,LDSR_SETOTU,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,0,DK5021,DK5021
FTN,FTNME1HTW,SDP_FUSASP,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,21,DK5021,DK5021
FTN,FTNME1HTW,LDSR_PUCCSO,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,3,HIPOPOTAMO,HIPOPOTAMO
FTN,FTNME1HTW,LDSR_SETOTU,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,0,HIPOPOTAMO,HIPOPOTAMO
FTN,FTNME1HTW,SDP_FUSASP,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,15,HIPOPOTAMO,HIPOPOTAMO
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,115.631164,HIPOPOTAMO,HIPOPOTAMO
FTN,FTNME1HTW,LDSR_SETOTU,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,0,CALAMAR,CALAMAR
FTN,FTNME1HTW,SDP_FUSASP,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,4,CALAMAR,CALAMAR
FTN,FTNME1HTW,LDSR_PUCCSO,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,2,CALAMAR,CALAMAR
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,134.733728,CALAMAR,CALAMAR
FTN,FTNME1HTW,YLD,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,130.19954,MX8639,MX8639
FTN,FTNME1HTW,SDP_FUSASP,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,14,MX8639,MX8639
FTN,FTNME1HTW,LDSR_SETOTU,2023_IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023,ME1 PACIFIC,0,MX8639,MX8639
