protocolType,SETS_setName,OBS_observationRefCd,OBS_descriptorAbbreviation,FIELD_name,FIELD_name_1,sub_market,FIELD_plantingSeason,FIELD_pipeline,OBS_numValue,productName,commercialName
FTN,FTNME1HTW,LDSR,PUCCSO,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,3.0,DK4050,DK4050
FTN,FTNME1HTW,SMUTP,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,DK4050,DK4050
FTN,FTNME1HTW,SDP,FUSASP,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,17.0,DK4050,DK4050
FTN,FTNME1HTW,LDSR,SETOTU,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,DK4050,DK4050
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,116.732413,DK4050,DK4050
FTN,FTNME1HTW,LDSR,PUCCSO,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,3.0,DK5021,DK5021
FTN,FTNME1HTW,SMUTP,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,DK5021,DK5021
FTN,FTNME1HTW,YLD,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,118.483728,DK5021,DK5021
FTN,FTNME1HTW,LDSR,SETOTU,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,DK5021,DK5021
FTN,FTNME1HTW,SDP,FUSASP,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,21.0,DK5021,DK5021
FTN,FTNME1HTW,LDSR,PUCCSO,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,3.0,HIPOPOTAMO,HIPOPOTAMO
FTN,FTNME1HTW,SMUTP,N/A,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,IIBANA_AHOME_JUANJRIOS1_FTNC_W23,WHITE HIGH TIER,2023.0,ME1 PACIFIC,0.0,HIPOPOTAMO,HIPOPOTAMO
